,Address,Cars,Bluecar counter,Utilib counter,Utilib 1.4 counter,Charge Slots,Charging Status,City,ID,Kind,Postal code,Rental status,Slots,Station type,Status,Subscription status,Date,Time
0,2 Avenue de Suffren,0,0,0,0,0,nonexistent,Paris,paris-suffren-2,STATION,75015,operational,2,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 11:43:00
1,145 Rue Raymond Losserand,6,6,0,0,0,operational,Paris,paris-raymondlosserand-145,STATION,75014,operational,0,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 07:24:00
2,2 Avenue John Fitzgerald Kennedy,3,3,0,2,0,operational,Le Bourget,lebourget-johnfitzgeraldkennedy-2,STATION,93350,operational,1,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 20:14:00
3,51 Rue EugÃ¨ne OudinÃ©,3,3,1,0,1,operational,Paris,paris-eugeneoudine-51,STATION,75013,operational,2,station,ok,nonexistent,2018-04-04 00:00:00,2020-05-29 04:37:00
4,6 avenue de la Porte de Champerret,3,3,0,0,0,nonexistent,Paris,paris-portedechamperret-6,PARKING,75017,operational,3,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 17:23:00
5,8 Boulevard Voltaire,0,0,0,0,0,nonexistent,Paris,paris-voltaire-8,STATION,75011,operational,4,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 07:02:00
6,37 rue Leblanc,0,0,0,0,0,nonexistent,Paris,paris-citroencevennes-parking,PARKING,75015,broken,0,station,closed,nonexistent,2018-04-08 00:00:00,2020-05-29 18:20:00
7,17 Rue des Luaps ProlongÃ©e,3,3,1,0,0,nonexistent,Nanterre,nanterre-luaps-17,STATION,92000,operational,0,station,ok,nonexistent,2018-04-04 00:00:00,2020-05-29 22:13:00
8,34 avenue Jean Moulin,1,1,0,0,0,nonexistent,Paris,paris-jeanmoulin-34,STATION,75014,operational,4,station,ok,nonexistent,2018-04-02 00:00:00,2020-05-29 22:58:00
9,41 boulevard de Rochechouart,6,6,0,0,0,nonexistent,Paris,paris-anvers-parking,PARKING,75009,operational,0,station,ok,nonexistent,2018-04-04 00:00:00,2020-05-29 15:02:00
10,14 rue Censier,0,0,0,0,2,operational,Paris,paris-censier-14,STATION,75005,operational,6,station,ok,nonexistent,2018-04-01 00:00:00,2020-05-29 04:39:00
11,12 Rue Francis de PressensÃ©,1,1,0,0,0,nonexistent,Puteaux,puteaux-francisdepressense-12,STATION,92800,operational,4,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 09:20:00
12,6 avenue de la Porte de Champerret,5,5,1,0,0,nonexistent,Paris,paris-portedechamperret-6,PARKING,75017,operational,0,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 12:22:00
13,34 avenue Jean Moulin,0,0,0,0,0,nonexistent,Paris,paris-jeanmoulin-34,STATION,75014,operational,0,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 21:54:00
14,8 Boulevard Richard Lenoir,0,0,0,0,1,operational,Paris,paris-richardlenoir-8,STATION,75011,operational,4,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 08:00:00
15,3 rue Jean JaurÃ¨s,0,0,0,0,0,nonexistent,Fontenay-aux-Roses,fontenayauxroses-jeanjaures-3,SPACE,92260,operational,4,full_station,ok,operational,2018-04-02 00:00:00,2020-05-29 00:21:00
16,2 avenue du GÃ©nÃ©ral Leclerc,0,0,0,0,0,nonexistent,Le Chesnay,lechesnay-leclerc-2,STATION,78150,operational,1,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 19:00:00
17,182 Boulevard Voltaire,6,6,0,0,0,operational,Paris,paris-voltaire-182,STATION,75011,operational,0,station,ok,nonexistent,2018-04-09 00:00:00,2020-05-29 12:14:00
18,26 villa Croix-Nivert,5,5,0,0,0,nonexistent,Paris,paris-cambronne-parking,PARKING,75015,operational,0,station,ok,nonexistent,2018-04-09 00:00:00,2020-05-29 20:58:00
19,11 avenue RenÃ© Coty,4,4,0,2,0,operational,Paris,paris-renecoty-11,STATION,75014,operational,0,station,ok,nonexistent,2018-04-09 00:00:00,2020-05-29 21:31:00
20,2 Place de Catalogne,3,3,0,0,0,operational,Paris,paris-catalogne-2,SPACE,75014,operational,0,full_station,ok,operational,2018-04-05 00:00:00,2020-05-29 06:16:00
21,37 avenue Georges Pompidou,2,2,1,0,0,nonexistent,Suresnes,suresnes-georgespompidou-37,STATION,92150,operational,3,station,ok,nonexistent,2018-04-07 00:00:00,2020-05-29 07:32:00
22,5 rue Vauban,5,5,0,0,0,nonexistent,Versailles,versailles-vauban-5,STATION,78000,operational,1,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 03:06:00
23,2 Rue du GÃ©nÃ©ral Malleret Joinville,2,2,0,0,0,nonexistent,Malakoff,malakoff-generalmalleretjoinville-2,STATION,92240,operational,4,station,ok,nonexistent,2018-04-01 00:00:00,2020-05-29 04:11:00
24,15 avenue Ãmile Deschanel,2,2,0,0,1,operational,Paris,paris-emiledeschanel-15,STATION,75007,operational,2,station,ok,nonexistent,2018-04-04 00:00:00,2020-05-29 23:27:00
25,182 Boulevard Voltaire,0,0,0,0,2,operational,Paris,paris-voltaire-182,STATION,75011,operational,5,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 21:06:00
